Luis Vargas, Experticia: 10, Opinión: 10
Pedro Suárez, Experticia: 10, Opinión: 9
Felipe Mendoza, Experticia: 9, Opinión: 8
Pablo Castillo, Experticia: 9, Opinión: 4
María Cano, Experticia: 8, Opinión: 9
Laura Jiménez, Experticia: 8, Opinión: 6
Juan Álvarez, Experticia: 8, Opinión: 2
Marcela Gómez, Experticia: 7, Opinión: 8
Ricardo Pérez, Experticia: 7, Opinión: 6
Andrés Cárdenas, Experticia: 6, Opinión: 7
Verónica López, Experticia: 6, Opinión: 5
Diego Morales, Experticia: 5, Opinión: 8
Daniela Torres, Experticia: 5, Opinión: 4
Jessica Sandoval, Experticia: 4, Opinión: 9
Carolina Rojas, Experticia: 4, Opinión: 5
Ana Mejía, Experticia: 3, Opinión: 7
Gloria Ramírez, Experticia: 3, Opinión: 7
Héctor Orozco, Experticia: 2, Opinión: 6
Diana Martínez, Experticia: 2, Opinión: 3
Santiago Reyes, Experticia: 1, Opinión: 6


{11, 20, 3}
{9, 1, 8}


{2, 4, 6, 5}
{10, 12, 7}


{19, 13, 15}
{16, 17, 18, 14}

