José Sánchez, Experticia: 5, Opinión: 5
Pedro Fernández, Experticia: 3, Opinión: 8
Ana López, Experticia: 9, Opinión: 6
Laura Ortiz, Experticia: 1, Opinión: 5
Rafael Jiménez, Experticia: 2, Opinión: 7
Lucía Morales, Experticia: 4, Opinión: 6
María Gómez, Experticia: 8, Opinión: 9
Fernando Ramírez, Experticia: 10, Opinión: 4
Jorge Torres, Experticia: 1, Opinión: 6
Luis Pérez, Experticia: 7, Opinión: 6
Marta Hernández, Experticia: 6, Opinión: 7

{8, 1}
{2, 11, 9}
{3, 7, 10}


{4, 5, 6}
