Fernando Ramírez, Experticia: 10, Opinión: 8
Ana López, Experticia: 9, Opinión: 6
María Gómez, Experticia: 8, Opinión: 9
Luis Pérez, Experticia: 7, Opinión: 6
Marta Hernández, Experticia: 6, Opinión: 7
José Sánchez, Experticia: 5, Opinión: 5
Lucía Morales, Experticia: 4, Opinión: 6
Pedro Fernández, Experticia: 3, Opinión: 8
Rafael Jiménez, Experticia: 2, Opinión: 7
Laura Ortiz, Experticia: 1, Opinión: 5
Jorge Torres, Experticia: 1, Opinión: 6


{8, 1}
{2, 11, 9}
{3, 7, 10}


{4, 5, 6}
