Andrés Ruiz, Experticia: 10, Opinión: 9
Laura Torres, Experticia: 9, Opinión: 7
Miguel Hernández, Experticia: 8, Opinión: 6
Elena Jiménez, Experticia: 7, Opinión: 8
Carlos García, Experticia: 6, Opinión: 9
María Pérez, Experticia: 5, Opinión: 8
Pedro Martínez, Experticia: 4, Opinión: 7
Sofía Sánchez, Experticia: 3, Opinión: 6
Ana López, Experticia: 2, Opinión: 5
Jorge Ramírez, Experticia: 1, Opinión: 9
Lucía Fernández, Experticia: 1, Opinión: 6


{8, 1}


{2, 11, 9}
{3, 7, 10}


{4, 5, 6}
