Carlos Fernández, Experticia: 5, Opinión: 6
Laura Martínez, Experticia: 5, Opinión: 8
Pedro Gómez, Experticia: 5, Opinión: 7
Ana Rodríguez, Experticia: 5, Opinión: 5
Juan Pérez, Experticia: 4, Opinión: 9
Mariana López, Experticia: 4, Opinión: 7
Luis Gómez, Experticia: 4, Opinión: 6
Marta Sánchez, Experticia: 4, Opinión: 8
David Torres, Experticia: 3, Opinión: 7
Carmen Díaz, Experticia: 3, Opinión: 5
Javier Álvarez, Experticia: 3, Opinión: 6
Beatriz Ruiz, Experticia: 2, Opinión: 8
Andrés Ortega, Experticia: 2, Opinión: 4
Roberto Ramírez, Experticia: 1, Opinión: 9
Isabel Molina, Experticia: 1, Opinión: 5


{1, 5, 9}


{2, 6, 10}
{3, 7, 11}


{4, 8, 12}
{13, 14, 15}
