Carlos Fernández, Experticia: 5, Opinión: 6
Elena García, Experticia: 8, Opinión: 6
Marcos Iglesias, Experticia: 9, Opinión: 7
Marta Gómez, Experticia: 1, Opinión: 6
Patricia López, Experticia: 2, Opinión: 5
Rafael Moreno, Experticia: 1, Opinión: 7
Ana Torres, Experticia: 1, Opinión: 6
Santiago Ruiz, Experticia: 8, Opinión: 5
Lucía Sánchez, Experticia: 7, Opinión: 8
Luis Pérez, Experticia: 1, Opinión: 5
Isabel Ramírez, Experticia: 4, Opinión: 8
Jorge Martínez, Experticia: 3, Opinión: 7
Laura Hernández, Experticia: 6, Opinión: 7
José Díaz, Experticia: 1, Opinión: 8


{1, 5, 9}
{2, 6, 10}


{3, 7, 11}


{4, 8}
{12, 13, 14}
